user_name,user_location,user_description,user_verified,date,text,hashtags,source
Herald Goa,"Goa, India","Established in 1900, O Heraldo is the oldest and currently the largest circulated English daily in Goa",False,2022-04-27 12:47:34+00:00,goa to start covid vaccines for years plus category says cm after attending vc with pmwatch full video,,Twitter Web App
Meralis Hood,"Wesley Chapel, FL",100% Boricua 🇵🇷. Mom. @nd_hood wife. ❤️ Nonprofit Executive 🧠 follow me on IG @meracognitive 📱 Tweets My Own 🐦,False,2022-04-27 12:47:21+00:00,i literally dont have time for this right now,['COVID19'],Twitter Web App
Free Press Journal,India,The voice of #Mumbai. The Free Press Journal is one of the oldest English daily newspapers from Mumbai with a heritage of more than 90 years.,True,2022-04-27 12:47:15+00:00,maharashtra records new covid cases deaths recoveries on april,"['Maharashtra', 'COVID19']",Twitter Web App
WeThePatriotsUSA,Land of the Free,🔥Preserving & Expanding Your Freedoms🔥 🇺🇸 Medical Freedom 🇺🇸 Religious Freedom 🇺🇸 Parental Rights 🇺🇸 Educational Freedom 🇺🇸 Right to Bear Arms 🇺🇸,False,2022-04-27 12:47:00+00:00,dont miss this weeks with everyone needs to hear this wonderful fathers message of hope forgiveness and light amidst the worst darkness a parent can experience,['FaithfulFreedom'],Twitter for Android
World Bank Tanzania,"Dar es Salaam, Tanzania",Welcome to World Bank Tanzania. Fighting poverty with passion and professionalism for lasting results.,False,2022-04-27 12:46:59+00:00,this is a special time in we were recently hit by locusts droughts cyclonesand these natural disasters will increase in frequency at the same time we have manmade shocks how to make africa more resilient is very important,"['Africa', 'COVID19']",Twitter Web App
deborah blayney,,,False,2022-04-27 12:46:41+00:00,clearly warned govt of risk of a large iceberg of asymptomatic infection warned children were likely asymptomatic vectors of but said pm laid out overall strategy politicaleconomic factors were hugeshoud sue govt,,Twitter for Android
Marc C. Whitt,"Lexington, Kentucky USA 🇺🇸",@universityofky Director of Media & Strategic Relations|@UKYISC PT Instructor|@PRLessons Author|@KYPRSA Board|@PRCA_HQ Int’l University Advisory|Opinions Mine🎺,False,2022-04-27 12:46:22+00:00,the only way out of this is with new lungs thats what andy wilkins and his wife michelle were told after andy was hospitalized with by via,,Twitter Web App
Der Fachfeger,,Theoretisch kann ich praktisch alles..,False,2022-04-27 12:46:15+00:00,fuck the system,"['Pflege', 'COVID19', 'UkraineRussiaWar']",Twitter for Android
José De La Cruz 🚀,"Pharr, TX 🏳️‍🌈🇺🇸🇲🇽",out now! #beautifulgarbage 20th anniversary deluxe edition 🥀🌹 & check out @garbage’s latest album #NOGODSNOMASTERS 👼🏼💕💚 https://t.co/194eJTp0Lb #shirleymanson,False,2022-04-27 12:46:01+00:00,double boosted and still masking up everywhere i go,"['CovidIsNotOver', 'GetBoosted', 'COVID19']",Twitter for iPad
COST,Brussels,An EU funding programme enabling researchers to set up their own interdisciplinary research networks in Europe and beyond. #COSTactions,False,2022-04-27 12:46:00+00:00,what we have learnt from how we will apply it to the preparation management of future crises join us with for a policy round table on the future of may cest register online,['COVID19'],Sprout Social
JasonNolk,,Consultant,False,2022-04-27 12:45:56+00:00,so the narrative is we are worried that if some stay unvaccinated it will clearly show broad range of immunity this will really dampen the data which they pushed on the world so we need to use the good old fashioned scar tactic are people this naive,['COVID19'],Twitter for iPad
André Picard,,"André Picard is the health columnist at The Globe and Mail. Author of  the bestselling book ""NEGLECTED NO MORE"".",True,2022-04-27 12:45:52+00:00,the us is finally out of the pandemic phase the countrys top infectiousdisease expert said tuesday as cases and hospitalizations are notably down and maskmandates are all but gone by via,,Twitter Web App
Daily Banner App,"Gujarat, India","Daily Banner is auto creation Application of Festival, Quotes & Business Posters for all business.

Read More: https://t.co/WyFXZCFyJh",False,2022-04-27 12:45:48+00:00,whatever type of business you are in one always wants to grow business,"['branding', 'marketingstrategies', 'Target']",Twitter Web App
🇺🇸 🇮🇹 CJ,New England,"""There are no ordinary people.  You have never talked to a mere mortal."" C.S. Lewis",False,2022-04-27 12:45:30+00:00,is out of the pandemic phase confirms infections are at a low level but people should still get intermittently vaccinated,"['America', 'Fauci', 'Covid19']",Twitter for Android
Dave Keating,"Brussels, Belgium","🇺🇸🇪🇺American-European journalist 📺Brussels Correspondent, France24 ✏️Senior Writer, Energy Monitor 👨‍💼Nonresident Senior Fellow, Atlantic Council",True,2022-04-27 12:45:11+00:00,eu health commissioner enters the press room wearing a though its no longer required to announce decision to end emergency phase of managing pandemic and moving on to a new phasea great deal has changed since i last stood before you,['FaceMask'],Twitter Web App
Dr Behrooz Hassani-M,"Melbourne, Victoria","Top 25 Analytics Leader AUS.
Director; Insights, Planning, Performance; Monash Uni.
Personal Views.",False,2022-04-27 12:45:08+00:00,back to the normal level,"['leadindicator', 'COVID19']",Twitter Web App
"Arlington, Health and Human Services",Health Alerts and Program Info,"Official Account of the Arlington, Massachusetts Department of Health and Human Services #ArlingtonMA #PublicHealth",True,2022-04-27 12:45:02+00:00,every home in the us is eligible to order two sets of four free athome rapid tests if you have already ordered your first set order a second today at,['COVID19'],Loomly
UNStats,New York,Official Twitter account of the Statistics Division of the United Nations Department of Economic and Social Affairs.,True,2022-04-27 12:45:00+00:00,check out our webinar recording of technical advisory group to uncover the potential of highfrequency in measuring s impact on adult learn about country experiences more,,TweetDeck
Ryan,"Ontario, Canada",Candidate for Prime Minister of Canada | he/him | Girl Dad | Husband | Advocate of Humanity | Politics | Sports | Whisky | Views are definitely my own,False,2022-04-27 12:44:56+00:00,morning if you had data to support ignoring the health safety of kids vaxxed during a pandemic it would be one thing but in the absence of that,,Twitter for iPhone
MαthGØddєss 🔥(NJ CD-3 & LD-8)🔥,"New Jersey, USA","Your friendly neighborhood biostatistician. Come for the stats, stay for SJ attitude. #nomaskflashmob

Founder: Child Advocate Coalition LLC NJ - Be their voice",False,2022-04-27 12:44:51+00:00,people wonder how the tuskegee experiments happened,"['InformedConsent', 'parentrights', 'patientrights', 'consentlaws']",Twitter for Android
Hilary @ DCS News,The Great State of California,"Keeping California county gov't on top of new developments, strategies & policies being pursued by fellow counties https://t.co/Xaki1f2N0L",False,2022-04-27 12:44:48+00:00,ca county news apr,"['CaCounties', 'CaGov', 'LocalGov', 'CountyGov', 'California', 'CAEconomy']",iContact's Social Tools
Matthew Taylor (Still Unbelievable! podcast),"Somerset, UK ","Still Unbelievable! #podcast, #thespian, #nullifidian, #atheist #developer #vegan, #science consumer, anti #BREXIT. #blacklivesmatter #ProVax",False,2022-04-27 12:44:48+00:00,my experience of having covid was worse than the affects of my jabs adding my voice to the data take that antivaxxers,,Twitter Web App
Kumudhini,,Tweets are my own,False,2022-04-27 12:44:31+00:00,not this govt only worried about upcoming elections doesnt care about children still a pandemic,['onpoli'],Twitter for Android
Emily C Somers💙,#PureMichigan,Prof @UMich | Epidemiologist | @LSHTM @JohnsHopkinsSPH alum | mom x3 girls | urban gardener | #epitwitter #lupus #autoimmunity #COVID19 {opin mine} 🇺🇸🇬🇧🌎,False,2022-04-27 12:44:25+00:00,to help testtotreat utilization check out this great patient page by my colleaguesoral antiviral medications for via,,Twitter Web App
Nangle,,"Nanglers travel ethically & sustainably, write responsibly and enjoy hugely - explore the world by EV, on foot & on bike! PhD Pharmacology. No listings.",False,2022-04-27 12:44:24+00:00,the and mismanagement of is finally coming home to roost too many have died nhs on its knees while professionals have to wear a mask everyone else should in public spaces dead yesterday no where to log your positive lft,"['ToryLies', 'Covid19']",Twitter for iPhone
Nitin Kashimpuria,"Gurugram, India",Energy & Livestock Markets. Buy Side. 13+ yrs. Personal Finance. Views are my own. Tweets intended for information only. Retweets ≠ Endorsements.,False,2022-04-27 12:44:23+00:00,chinese city of changchun to lift covid curbs gradually from thursday state media,"['OOTT', 'ONGT', 'China', 'covid19']",TweetDeck
Zeinobia is fully vaccinated 💉💉💉,Egypt,Egyptian Blogger / Journalist / Photographer. Keybase:@zeinobia. Just another talkative Egyptian RT is not Endorsement. My views do not represent my employer,False,2022-04-27 12:44:21+00:00,latest updates from new confirmed cases with pictwitter via,"['COVID19', 'Oman', 'Covid19', 'OmanVsCovid19']",24liveblog
